gate (V),density (e12 cm^-2),Fermi wavenumber (nm^-1),Fermi wavelength (nm),Fermi velocity (e6 m/s),Fermi energy (meV),mobility xx (e3 cm^2/V.s),mobility yy (e3 cm^2/V.s),mean free time xx (fs),mean free time yy (fs),mean free path xx (nm),mean free path yy (nm),diffusion coefficient xx (m^2/s),diffusion coefficient yy (m^2/s)
-0.500000000000002,5.251473245905972,0.5744212699728579,10.938288039850045,2.2166464187551322,419.04697317118894,3.4155046650681276,3.444767296378828,58.25788842774152,58.7570179202105,129.1371397475893,130.24353334956572,0.14312568917488744,0.14435193088266476
-0.4000000000000019,5.402689592061673,0.5826328163096718,10.784125320946643,2.248334129032296,431.11344465134994,3.3604474043507526,3.3905851622165444,57.318782770877796,57.83283920100495,128.87177553835286,130.02754615445627,0.14487340560593406,0.14617268486669305
-0.3000000000000018,5.554903596248874,0.5907832822511988,10.635347166963333,2.2797861348769346,443.25952533045063,3.307699299344225,3.3387550108196375,56.419064129684315,56.94877799384108,128.6234001455869,129.8310344685436,0.1466169221363185,0.14799349612905754
-0.20000000000000173,5.709784957325874,0.5989627446763692,10.490110383367014,2.311350035867149,455.6184506302318,3.257247875201934,3.2903460821574484,55.55851972207081,56.123072207591775,128.41518655233406,129.72006495999184,0.14840622302181203,0.14991423839898305
-0.10000000000000164,5.86213774393464,0.6069011265548369,10.352897749336877,2.341983626023808,467.7756056023858,3.2105801251308153,3.2449881075862015,54.762513028060695,55.34940621061462,128.2529088316336,129.6274030553999,0.1501831062368051,0.15179262771986757
-1.5543122344752192e-15,6.014985892993742,0.6147623198094591,10.220511415089675,2.3723193513631977,479.97228855568267,3.1662328239841657,3.20286639060696,54.00608597682684,54.63094070440147,128.11968285421096,129.602037816227,0.15197040146278018,0.15372871114377015
0.09999999999999853,6.172685236313586,0.6227690196425146,10.089110262399204,2.403216575123433,492.5560777886912,3.120574711178641,3.15904342562854,53.22730055490956,53.88345719767502,127.91673094263537,129.49361746240666,0.15370580401847292,0.15560060392917446
0.19999999999999862,6.323674550263728,0.6303397418979906,9.967934574869957,2.432431395765057,504.6044329890778,3.082271069798912,3.1209480107646095,52.57395954539525,53.233667885000465,127.88254979790142,129.48724507520518,0.15553276454945186,0.15748442013602665
0.2999999999999987,6.474091657605916,0.6377924237587291,9.851458049863032,2.4611907078244935,516.6071283458615,3.044237067541088,3.083964314736076,51.925217740806744,52.6028410385576,127.79786340543707,129.46562356926685,0.1572674569466428,0.15931979485569167
0.3999999999999988,6.632979226025281,0.6455713563641858,9.732751066537494,2.4912089958005597,529.2857332825945,3.0037006195724483,3.0452407808014343,51.233791994220375,51.942337967791865,127.63408350497653,129.39921960827607,0.15898158849917868,0.16118024996885477
0.4999999999999989,6.7808371093059545,0.6527270187112625,9.626053659591177,2.5188221329607106,541.0842125943894,2.969713046281101,3.0114909671598387,50.654069684663085,51.366671098500696,127.58859184626353,129.3835080594168,0.16068648452782955,0.16294702187007978
0.599999999999999,6.92694354166842,0.6597216828684165,9.523993936141078,2.545813990791955,552.7429329906255,2.9368382420864805,2.979875374680115,50.09332775552979,50.82740740546635,127.52829464535469,129.39712488851887,0.1623316583649914,0.16471050545472263
0.6999999999999991,7.079775387607757,0.6669598240789973,9.420635367139267,2.573745407387368,564.9383150188919,2.902375587779626,2.946681505829314,49.505502041202305,50.26122322549056,127.41455851895041,129.35959244627765,0.16396631741121884,0.16646932848005436
